timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732486947093,00001,,,,,,,,0.000000,0
1732486947093,00002,,,,,,,,0.000000,0
1732486947093,00003,,,,,,,,0.000000,0
1732486947093,00005,,,,,,,,0.000000,0
1732486947093,00007,,,,,,,,0.000000,0
1732486947093,00008,,,,,,,,0.000000,0
1732486947093,00009,,,,,,,,0.000000,0
1732486947093,00010,,,,,,,,0.000000,0
1732486947093,00012,,,,,,,,0.000000,0
1732486947193,00001,,,,,,,,1854.960000,177
1732486947193,00002,,,,,,,,1854.960000,177
1732486947193,00003,,,,,,,,1854.960000,177
1732486947193,00005,,,,,,,,1854.960000,177
1732486947193,00007,,,,,,,,1854.960000,177
1732486947193,00008,,,,,,,,1854.960000,177
1732486947193,00009,,,,,,,,1854.960000,177
1732486947193,00010,,,,,,,,1854.960000,177
1732486947193,00012,,,,,,,,1854.960000,177
1732486947293,00001,,,,,,,,2096.000000,200
1732486947293,00002,,,,,,,,2096.000000,200
1732486947293,00003,,,,,,,,2096.000000,200
1732486947293,00005,,,,,,,,2096.000000,200
1732486947293,00007,,,,,,,,2096.000000,200
1732486947293,00008,,,,,,,,2096.000000,200
1732486947293,00009,,,,,,,,2096.000000,200
1732486947293,00010,,,,,,,,2096.000000,200
1732486947293,00012,,,,,,,,2096.000000,200
