DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112804	11	2	3	1	2	2	1	0	9	0	0	6.82644	0	0
DL	0.112839	11	2	3	1	4	3	1	0	21	0	0	1.10075	0	0
DL	0.112839	11	2	3	3	2	2	2	0	9	0	0	22.1067	0	0
DL	0.112875	11	2	3	5	2	2	3	0	9	0	0	15.2981	0	0
DL	0.112893	11	2	3	7	1	2	4	0	3	0	0	22.3566	0	0
DL	0.112911	11	2	3	5	4	3	2	0	21	0	0	2.5413	0	0
DL	0.112911	11	2	3	8	1	2	5	0	3	0	0	21.4971	0	0
DL	0.112929	11	2	3	9	1	2	6	0	3	0	0	7.13838	0	0
DL	0.112946	11	2	3	10	1	2	7	0	3	0	0	19.6932	0	0
DL	0.112964	11	2	3	11	1	2	8	0	3	0	0	22.9284	0	0
DL	0.112982	11	2	3	9	4	3	3	0	21	0	0	14.1626	0	0
DL	0.112982	11	2	3	12	1	2	9	0	3	0	0	19.0745	0	0
DL	0.113089	11	3	0	1	4	3	1	0	21	0	0	1.09743	0	0
DL	0.113089	11	3	0	1	4	2	1	0	21	0	0	6.82644	0	0
DL	0.113161	11	3	0	5	4	3	2	0	21	0	0	2.53556	0	0
DL	0.113161	11	3	0	5	4	2	2	0	21	0	0	14.766	0	0
DL	0.113232	11	3	0	9	4	3	3	0	21	0	0	14.1523	0	0
DL	0.113232	11	3	0	9	4	2	3	0	21	0	0	15.2981	0	0
DL	0.113339	11	3	1	1	4	3	1	0	21	0	0	1.09743	0	0
DL	0.113339	11	3	1	1	4	2	1	0	21	0	0	6.82644	0	0
DL	0.113411	11	3	1	5	4	3	2	0	21	0	0	2.53556	0	0
DL	0.113411	11	3	1	5	4	2	2	0	21	0	0	14.766	0	0
DL	0.113482	11	3	1	9	4	3	3	0	21	0	0	14.1523	0	0
DL	0.113482	11	3	1	9	4	2	3	0	21	0	0	15.2981	0	0
DL	0.113589	11	3	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.113589	11	3	2	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.113661	11	3	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.113661	11	3	2	5	4	2	2	0	847	28	0	14.766	1	1
DL	0.113732	11	3	2	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.113732	11	3	2	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.113839	11	3	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.113839	11	3	3	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.113911	11	3	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.113911	11	3	3	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.113982	11	3	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.113982	11	3	3	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.114089	11	4	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.114089	11	4	0	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.114161	11	4	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.114161	11	4	0	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.114232	11	4	0	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.114232	11	4	0	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.114339	11	4	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.114339	11	4	1	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.114411	11	4	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.114411	11	4	1	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.114482	11	4	1	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.114482	11	4	1	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.114589	11	4	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.114589	11	4	2	1	4	2	2	0	847	28	1	14.766	0	0
DL	0.114661	11	4	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.114661	11	4	2	5	4	2	2	0	847	28	2	14.766	1	1
DL	0.114696	11	4	2	9	2	2	1	0	110	12	0	6.82644	0	4.93581e-08
DL	0.114732	11	4	2	9	4	3	3	0	505	20	0	14.1557	0	0
DL	0.114732	11	4	2	11	2	2	3	0	251	20	0	29.711	0	0
DL	0.114839	11	4	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.114839	11	4	3	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.114911	11	4	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.114911	11	4	3	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.114982	11	4	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.114982	11	4	3	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.115089	11	5	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.115089	11	5	0	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.115161	11	5	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.115161	11	5	0	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.115232	11	5	0	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.115232	11	5	0	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.115339	11	5	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.115339	11	5	1	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.115411	11	5	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.115411	11	5	1	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.115482	11	5	1	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.115482	11	5	1	9	4	2	3	0	847	28	0	15.2981	1	1
DL	0.115589	11	5	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.115589	11	5	2	1	4	2	2	0	505	20	1	14.766	0	0
DL	0.115661	11	5	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.115661	11	5	2	5	4	2	2	0	505	20	2	14.766	0	0
DL	0.115696	11	5	2	9	2	2	1	0	110	12	0	6.82644	0	4.93581e-08
DL	0.115732	11	5	2	9	4	3	3	0	505	20	0	14.1557	0	0
DL	0.115732	11	5	2	11	2	2	3	0	251	20	0	29.711	0	0
DL	0.115839	11	5	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.115839	11	5	3	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.115911	11	5	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.115911	11	5	3	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.115982	11	5	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.115982	11	5	3	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.116089	11	6	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.116089	11	6	0	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.116161	11	6	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.116161	11	6	0	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.116232	11	6	0	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.116232	11	6	0	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.116339	11	6	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.116339	11	6	1	1	4	2	3	0	847	28	1	15.2981	0	0
DL	0.116411	11	6	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.116411	11	6	1	5	4	2	3	0	847	28	2	15.2981	1	1
DL	0.116446	11	6	1	9	2	2	1	0	110	12	0	6.82644	0	4.93581e-08
DL	0.116482	11	6	1	9	4	3	3	0	505	20	0	14.1557	0	0
DL	0.116482	11	6	1	11	2	2	2	0	251	20	0	22.1067	0	0
DL	0.116589	11	6	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.116589	11	6	2	1	4	2	3	0	505	20	0	15.2981	0	0
DL	0.116661	11	6	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.116661	11	6	2	5	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.116732	11	6	2	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.116732	11	6	2	9	4	2	2	0	505	20	0	14.766	0	0
DL	0.116839	11	6	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.116839	11	6	3	1	4	2	3	0	505	20	0	15.2981	0	0
DL	0.116911	11	6	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.116911	11	6	3	5	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.116982	11	6	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.116982	11	6	3	9	4	2	2	0	505	20	0	14.766	0	0
DL	0.117089	11	7	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.117089	11	7	0	1	4	2	3	0	505	20	0	15.2981	0	0
DL	0.117161	11	7	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.117161	11	7	0	5	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.117232	11	7	0	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.117232	11	7	0	9	4	2	2	0	847	28	0	14.766	1	1
DL	0.117339	11	7	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.117339	11	7	1	1	4	2	3	0	505	20	0	15.2981	0	0
DL	0.117411	11	7	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.117411	11	7	1	5	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.117482	11	7	1	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.117482	11	7	1	9	4	2	2	0	505	20	0	14.766	0	0
DL	0.117589	11	7	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.117589	11	7	2	1	4	2	3	0	505	20	0	15.2981	0	0
DL	0.117661	11	7	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.117661	11	7	2	5	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.117732	11	7	2	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.117732	11	7	2	9	4	2	2	0	505	20	0	14.766	0	0
DL	0.117839	11	7	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.117839	11	7	3	1	4	2	3	0	505	20	0	15.2981	0	0
DL	0.117911	11	7	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.117911	11	7	3	5	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.117982	11	7	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.117982	11	7	3	9	4	2	2	0	505	20	0	14.766	0	0
DL	0.118089	11	8	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.118089	11	8	0	1	4	2	2	0	847	28	1	14.766	0	0
DL	0.118161	11	8	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.118161	11	8	0	5	4	2	2	0	847	28	2	14.766	1	1
DL	0.118196	11	8	0	9	2	2	3	0	251	20	0	15.2981	0	1.39592e-06
DL	0.118232	11	8	0	9	4	3	3	0	505	20	0	14.1557	0	0
DL	0.118232	11	8	0	11	2	2	1	0	110	12	0	26.1841	0	0
DL	0.118339	11	8	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.118339	11	8	1	1	4	2	2	0	505	20	0	14.766	0	0
DL	0.118411	11	8	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.118411	11	8	1	5	4	2	3	0	505	20	0	15.2981	0	0
DL	0.118482	11	8	1	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.118482	11	8	1	9	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.118589	11	8	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.118589	11	8	2	1	4	2	2	0	505	20	0	14.766	0	0
DL	0.118661	11	8	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.118661	11	8	2	5	4	2	3	0	505	20	0	15.2981	0	0
DL	0.118732	11	8	2	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.118732	11	8	2	9	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.118839	11	8	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.118839	11	8	3	1	4	2	2	0	505	20	0	14.766	0	0
DL	0.118911	11	8	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.118911	11	8	3	5	4	2	3	0	505	20	0	15.2981	0	0
DL	0.118982	11	8	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.118982	11	8	3	9	4	2	1	0	847	28	0	6.82644	1	1
DL	0.119089	11	9	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.119089	11	9	0	1	4	2	2	0	505	20	1	14.766	0	0
DL	0.119161	11	9	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.119161	11	9	0	5	4	2	2	0	505	20	2	14.766	0	0
DL	0.119196	11	9	0	9	2	2	3	0	251	20	0	15.2981	0	1.39592e-06
DL	0.119232	11	9	0	9	4	3	3	0	505	20	0	14.1557	0	0
DL	0.119232	11	9	0	11	2	2	1	0	110	12	0	26.1841	0	0
DL	0.119339	11	9	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.119339	11	9	1	1	4	2	2	0	505	20	0	14.766	0	0
DL	0.119411	11	9	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.119411	11	9	1	5	4	2	3	0	505	20	0	15.2981	0	0
DL	0.119482	11	9	1	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.119482	11	9	1	9	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.119589	11	9	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.119589	11	9	2	1	4	2	2	0	505	20	0	14.766	0	0
DL	0.119661	11	9	2	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.119661	11	9	2	5	4	2	3	0	505	20	0	15.2981	0	0
DL	0.119732	11	9	2	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.119732	11	9	2	9	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.119839	11	9	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.119839	11	9	3	1	4	2	1	0	847	28	1	6.82644	1	1
DL	0.119911	11	9	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.119911	11	9	3	5	4	2	1	0	847	28	2	6.82644	0	0
DL	0.119946	11	9	3	9	2	2	2	0	251	20	0	14.766	0	2.60153e-12
DL	0.119982	11	9	3	9	4	3	3	0	505	20	0	14.1557	0	0
DL	0.119982	11	9	3	11	2	2	3	0	251	20	0	29.711	0	0
DL	0.120089	12	0	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.120089	12	0	0	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.120161	12	0	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.120161	12	0	0	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.120232	12	0	0	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.120232	12	0	0	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.120339	12	0	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.120339	12	0	1	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.120411	12	0	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.120411	12	0	1	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.120482	12	0	1	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.120482	12	0	1	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.120589	12	0	2	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.120589	12	0	2	1	4	2	1	0	847	28	3	6.82644	1	1
DL	0.120643	12	0	2	5	3	2	2	0	378	20	0	14.766	0	0
DL	0.120661	12	0	2	5	4	3	2	0	132	8	0	2.53843	0	1.87789e-12
DL	0.120696	12	0	2	8	3	2	3	0	634	28	0	25.2435	0	0.0210259
DL	0.120732	12	0	2	9	4	3	3	0	505	20	0	28.7896	0	0
DL	0.120839	12	0	3	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.120839	12	0	3	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.120911	12	0	3	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.120911	12	0	3	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.120982	12	0	3	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.120982	12	0	3	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.121089	12	1	0	1	4	2	1	0	224	12	0	6.82644	0	3.33067e-16
DL	0.121089	12	1	0	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.121161	12	1	0	5	4	2	2	0	505	20	0	14.766	0	0
DL	0.121161	12	1	0	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.121232	12	1	0	9	4	2	3	0	505	20	0	15.2981	0	0
DL	0.121232	12	1	0	9	4	3	3	0	505	20	0	14.1523	0	0
DL	0.121339	12	1	1	1	4	2	1	0	224	12	1	6.82644	0	3.33067e-16
DL	0.121339	12	1	1	1	4	3	1	0	89	6	0	1.09743	0	0
DL	0.121411	12	1	1	5	4	2	1	0	224	12	2	6.82644	0	3.33067e-16
DL	0.121411	12	1	1	5	4	3	2	0	132	8	0	2.53556	0	1.99091e-12
DL	0.121446	12	1	1	9	2	2	2	0	251	20	0	14.766	0	2.60153e-12
DL	0.121482	12	1	1	9	4	3	3	0	847	28	0	14.1557	1	1
DL	0.121482	12	1	1	11	2	2	3	0	422	28	0	29.711	0	5.3748e-07
DL	0.121589	12	1	2	1	4	3	1	0	89	6	0	1.09743	0	0
