timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID (pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732415050710,00001,82.686587,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415050810,00002,82.217766,0,2284.640000,1142.320000,109,11423.200000,154.519902,,
1732415050810,00001,82.217766,0,2284.640000,1142.320000,109,11423.200000,9.915630,,
1732415050910,00002,82.822871,0,4192.000000,2096.000000,200,20960.000000,155.730112,,
1732415050910,00001,82.822871,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051010,00002,85.149649,0,4192.000000,2096.000000,200,20960.000000,160.383667,,
1732415051010,00001,85.149649,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051110,00002,88.928084,0,4192.000000,2096.000000,200,20960.000000,167.940537,,
1732415051110,00001,88.928084,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051210,00002,88.928084,0,4192.000000,2096.000000,200,20960.000000,167.940537,,
1732415051210,00001,88.928084,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051310,00002,88.928084,0,4192.000000,2096.000000,200,20960.000000,167.940537,,
1732415051310,00001,88.928084,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051410,00002,86.432814,0,4192.000000,2096.000000,200,20960.000000,162.949998,,
1732415051410,00001,86.432814,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051510,00002,82.442642,0,4192.000000,2096.000000,200,20960.000000,154.969655,,
1732415051510,00001,82.442642,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051610,00002,80.271621,0,4192.000000,2096.000000,200,20960.000000,150.627612,,
1732415051610,00001,80.271621,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051710,00002,82.738312,0,4192.000000,2096.000000,200,20960.000000,155.560994,,
1732415051710,00001,82.738312,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415051810,00002,81.242072,0,2284.640000,1142.320000,109,11423.200000,152.568513,,
1732415051810,00001,81.242072,0,2284.640000,1142.320000,109,11423.200000,9.915630,,
1732415051910,00002,83.291438,0,4192.000000,2096.000000,200,20960.000000,156.667245,,
1732415051910,00001,83.291438,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415052010,00002,84.330536,0,4192.000000,2096.000000,200,20960.000000,158.745441,,
1732415052010,00001,84.330536,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415052110,00002,85.158813,0,4192.000000,2096.000000,200,20960.000000,160.401997,,
1732415052110,00001,85.158813,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415052210,00002,84.192271,0,4192.000000,2096.000000,200,20960.000000,158.468913,,
1732415052210,00001,84.192271,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415052310,00002,83.017945,0,4192.000000,2096.000000,200,20960.000000,156.120261,,
1732415052310,00001,83.017945,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415052410,00002,82.678084,0,4192.000000,2096.000000,200,20960.000000,155.440537,,
1732415052410,00001,82.678084,0,4192.000000,2096.000000,200,20960.000000,9.915630,,
1732415052510,00002,80.661142,0,4192.000000,2096.000000,200,20960.000000,151.406654,,
