timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732483717355,00004,,,,,,,,0.000000,0
1732483717355,00006,,,,,,,,0.000000,0
1732483717355,00007,,,,,,,,0.000000,0
1732483717455,00004,,,,,,,,1854.960000,177
1732483717455,00006,,,,,,,,1854.960000,177
1732483717455,00007,,,,,,,,1854.960000,177
1732483717555,00004,,,,,,,,2096.000000,200
1732483717555,00006,,,,,,,,2096.000000,200
1732483717555,00007,,,,,,,,2096.000000,200
1732483717655,00004,,,,,,,,2096.000000,200
1732483717655,00006,,,,,,,,2096.000000,200
1732483717655,00007,,,,,,,,2096.000000,200
1732483717755,00004,,,,,,,,2096.000000,200
1732483717755,00006,,,,,,,,2096.000000,200
1732483717755,00007,,,,,,,,2096.000000,200
1732483717855,00004,,,,,,,,2096.000000,200
1732483717855,00006,,,,,,,,2096.000000,200
1732483717855,00007,,,,,,,,2096.000000,200
1732483717955,00004,,,,,,,,2096.000000,200
1732483717955,00006,,,,,,,,2096.000000,200
1732483717955,00007,,,,,,,,2096.000000,200
1732483718055,00004,,,,,,,,2096.000000,200
1732483718055,00006,,,,,,,,2096.000000,200
1732483718055,00007,,,,,,,,2096.000000,200
1732483718155,00004,,,,,,,,2096.000000,200
1732483718155,00006,,,,,,,,2096.000000,200
1732483718155,00007,,,,,,,,2096.000000,200
1732483718255,00004,,,,,,,,2096.000000,200
1732483718255,00006,,,,,,,,2096.000000,200
1732483718255,00007,,,,,,,,2096.000000,200
1732483718255,00005,,,,,,,,18622.960000,1777
1732483718355,00004,,,,,,,,2096.000000,200
1732483718355,00006,,,,,,,,2096.000000,200
1732483718355,00007,,,,,,,,2096.000000,200
1732483718355,00005,,,,,,,,2096.000000,200
1732483718455,00004,,,,,,,,2096.000000,200
1732483718455,00006,,,,,,,,2096.000000,200
1732483718455,00007,,,,,,,,2096.000000,200
1732483718555,00004,,,,,,,,2096.000000,200
1732483718555,00006,,,,,,,,2096.000000,200
1732483718555,00007,,,,,,,,2096.000000,200
1732483718655,00004,,,,,,,,2096.000000,200
1732483718655,00006,,,,,,,,2096.000000,200
1732483718655,00007,,,,,,,,2096.000000,200
1732483718755,00004,,,,,,,,2096.000000,200
1732483718755,00006,,,,,,,,2096.000000,200
1732483718755,00007,,,,,,,,2096.000000,200
1732483718855,00004,,,,,,,,2096.000000,200
1732483718855,00006,,,,,,,,2096.000000,200
1732483718855,00007,,,,,,,,2096.000000,200
1732483718955,00004,,,,,,,,2096.000000,200
1732483718955,00006,,,,,,,,2096.000000,200
1732483718955,00007,,,,,,,,2096.000000,200
1732483719055,00004,,,,,,,,2096.000000,200
1732483719055,00006,,,,,,,,2096.000000,200
1732483719055,00007,,,,,,,,2096.000000,200
1732483719155,00004,,,,,,,,2096.000000,200
1732483719155,00006,,,,,,,,2096.000000,200
1732483719155,00007,,,,,,,,2096.000000,200
1732483719255,00004,,,,,,,,2096.000000,200
1732483719255,00006,,,,,,,,2096.000000,200
1732483719255,00007,,,,,,,,2096.000000,200
