timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732466492407,00001,,,,,,,,0.000000,0
1732466492407,00002,,,,,,,,0.000000,0
1732466492407,00003,,,,,,,,0.000000,0
1732466492407,00004,,,,,,,,0.000000,0
1732466492407,00005,,,,,,,,0.000000,0
1732466492407,00006,,,,,,,,0.000000,0
1732466492407,00007,,,,,,,,0.000000,0
1732466492407,00010,,,,,,,,0.000000,0
1732466492507,00001,,,,,,,,1854.960000,177
1732466492507,00002,,,,,,,,1854.960000,177
1732466492507,00003,,,,,,,,1854.960000,177
1732466492507,00004,,,,,,,,1854.960000,177
1732466492507,00005,,,,,,,,1854.960000,177
1732466492507,00006,,,,,,,,1854.960000,177
1732466492507,00007,,,,,,,,1854.960000,177
1732466492507,00010,,,,,,,,1854.960000,177
1732466492607,00001,,,,,,,,2096.000000,200
1732466492607,00002,,,,,,,,2096.000000,200
1732466492607,00003,,,,,,,,2096.000000,200
1732466492607,00004,,,,,,,,2096.000000,200
1732466492607,00005,,,,,,,,2096.000000,200
1732466492607,00006,,,,,,,,2096.000000,200
1732466492607,00007,,,,,,,,2096.000000,200
1732466492607,00010,,,,,,,,2096.000000,200
1732466492707,00001,,,,,,,,2096.000000,200
1732466492707,00003,,,,,,,,2096.000000,200
1732466492707,00004,,,,,,,,2096.000000,200
1732466492707,00005,,,,,,,,2096.000000,200
1732466492707,00006,,,,,,,,2096.000000,200
1732466492707,00007,,,,,,,,2096.000000,200
1732466492707,00010,,,,,,,,2096.000000,200
1732466492707,00012,,,,,,,,5627.760000,537
