timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732474831247,00006,,,,,,,,2096.000000,200
1732474831347,00004,,,,,,,,2096.000000,200
1732474831347,00011,,,,,,,,2096.000000,200
1732474831347,00006,,,,,,,,2096.000000,200
1732474831447,00004,,,,,,,,2096.000000,200
1732474831447,00011,,,,,,,,2096.000000,200
1732474831447,00006,,,,,,,,2096.000000,200
1732474831447,00010,,,,,,,,79165.920000,7554
1732474831547,00004,,,,,,,,2096.000000,200
1732474831547,00011,,,,,,,,2096.000000,200
1732474831547,00006,,,,,,,,2096.000000,200
1732474831547,00010,,,,,,,,2096.000000,200
1732474831647,00004,,,,,,,,2096.000000,200
1732474831647,00011,,,,,,,,2096.000000,200
1732474831747,00004,,,,,,,,2096.000000,200
1732474831747,00011,,,,,,,,2096.000000,200
