timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID (pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732474826947,00003,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00001,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00004,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00009,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00002,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00007,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00008,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00005,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00011,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00012,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00010,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474826947,00006,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,,
1732474827047,00003,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00001,72.726344,0,22511.040000,1875.920000,179,18759.200000,287.354150,,
1732474827047,00004,72.726344,0,22511.040000,1875.920000,179,18759.200000,237.397861,,
1732474827047,00009,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00002,72.726344,0,22511.040000,1875.920000,179,18759.200000,262.616622,,
1732474827047,00007,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00008,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00005,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00011,72.726344,0,22511.040000,1875.920000,179,18759.200000,85.347494,,
1732474827047,00012,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00010,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827047,00006,72.726344,0,22511.040000,1875.920000,179,18759.200000,0.000000,,
1732474827147,00003,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00001,177.419973,0,25152.000000,2096.000000,200,20960.000000,815.616172,,
1732474827147,00004,177.419973,0,25152.000000,2096.000000,200,20960.000000,514.667057,,
1732474827147,00009,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00002,177.419973,0,25152.000000,2096.000000,200,20960.000000,765.343138,,
1732474827147,00007,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00008,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00005,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00011,177.419973,0,25152.000000,2096.000000,200,20960.000000,33.413304,,
1732474827147,00012,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00010,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827147,00006,177.419973,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00003,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00001,516.345475,0,25152.000000,2096.000000,200,20960.000000,1521.547119,,
1732474827247,00004,516.345475,0,25152.000000,2096.000000,200,20960.000000,685.719262,,
1732474827247,00009,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00002,516.345475,0,25152.000000,2096.000000,200,20960.000000,1298.137769,,
1732474827247,00007,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00008,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00005,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00011,516.345475,0,25152.000000,2096.000000,200,20960.000000,62.198610,,
1732474827247,00012,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00010,516.345475,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827247,00006,516.345475,0,25152.000000,2096.000000,200,20960.000000,2628.542945,,
1732474827347,00003,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827347,00001,620.229109,0,25152.000000,2096.000000,200,20960.000000,1725.047203,,
1732474827347,00004,620.229109,0,25152.000000,2096.000000,200,20960.000000,997.439617,,
1732474827347,00009,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827347,00002,620.229109,0,25152.000000,2096.000000,200,20960.000000,1598.292815,,
1732474827347,00007,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827347,00008,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827347,00005,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827347,00011,620.229109,0,25152.000000,2096.000000,200,20960.000000,90.591750,,
1732474827347,00012,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
1732474827347,00010,620.229109,0,25152.000000,2096.000000,200,20960.000000,0.000000,,
