0.0005,1 293,205
0.0005,2 246,134
0.0005,3 222,67
0.0005,4 25,202
0.0005,5 163,95
0.0005,6 342,284
0.0005,7 66,45
0.0005,8 336,272
0.0005,9 375,145
0.0005,10 159,131
0.0005,11 84,331
0.0005,12 377,156
0.001,1 293,205
0.001,2 246,134
0.001,3 222,67
0.001,4 25,202
0.001,5 163,95
0.001,6 342,284
0.001,7 66,45
0.001,8 336,272
0.001,9 375,145
0.001,10 159,131
0.001,11 84,331
0.001,12 377,156
0.0015,1 293,205
0.0015,2 246,134
0.0015,3 222,67
0.0015,4 25,202
0.0015,5 163,95
0.0015,6 342,284
0.0015,7 66,45
0.0015,8 336,272
0.0015,9 375,145
0.0015,10 159,131
0.0015,11 84,331
0.0015,12 377,156
0.002,1 293,205
0.002,2 246,134
0.002,3 222,67
0.002,4 25,202
0.002,5 163,95
0.002,6 342,284
0.002,7 66,45
0.002,8 336,272
0.002,9 375,145
0.002,10 159,131
0.002,11 84,331
0.002,12 377,156
0.0025,1 293,205
0.0025,2 246,134
0.0025,3 222,67
0.0025,4 25,202
0.0025,5 163,95
0.0025,6 342,284
0.0025,7 66,45
0.0025,8 336,272
0.0025,9 375,145
0.0025,10 159,131
0.0025,11 84,331
0.0025,12 377,156
0.003,1 293,205
0.003,2 246,134
0.003,3 222,67
0.003,4 25,202
0.003,5 163,95
0.003,6 342,284
0.003,7 66,45
0.003,8 336,272
0.003,9 375,145
0.003,10 159,131
0.003,11 84,331
0.003,12 377,156
0.0035,1 293,205
0.0035,2 246,134
0.0035,3 222,67
0.0035,4 25,202
0.0035,5 163,95
0.0035,6 342,284
0.0035,7 66,45
0.0035,8 336,272
0.0035,9 375,145
0.0035,10 159,131
0.0035,11 84,331
0.0035,12 377,156
0.004,1 293,205
0.004,2 246,134
0.004,3 222,67
0.004,4 25,202
0.004,5 163,95
0.004,6 342,284
0.004,7 66,45
0.004,8 336,272
0.004,9 375,145
0.004,10 159,131
0.004,11 84,331
0.004,12 377,156
0.0045,1 293,205
0.0045,2 246,134
0.0045,3 222,67
0.0045,4 25,202
0.0045,5 163,95
0.0045,6 342,284
0.0045,7 66,45
0.0045,8 336,272
0.0045,9 375,145
0.0045,10 159,131
0.0045,11 84,331
0.0045,12 377,156
0.005,1 293,205
0.005,2 246,134
0.005,3 222,67
0.005,4 25,202
0.005,5 163,95
0.005,6 342,284
0.005,7 66,45
0.005,8 336,272
0.005,9 375,145
0.005,10 159,131
0.005,11 84,331
0.005,12 377,156
0.0055,1 293,205
0.0055,2 246,134
0.0055,3 222,67
0.0055,4 25,202
0.0055,5 163,95
0.0055,6 342,284
0.0055,7 66,45
0.0055,8 336,272
0.0055,9 375,145
0.0055,10 159,131
0.0055,11 84,331
0.0055,12 377,156
0.006,1 293,205
0.006,2 246,134
0.006,3 222,67
0.006,4 25,202
0.006,5 163,95
0.006,6 342,284
0.006,7 66,45
0.006,8 336,272
0.006,9 375,145
0.006,10 159,131
0.006,11 84,331
0.006,12 377,156
0.0065,1 293,205
0.0065,2 246,134
0.0065,3 222,67
0.0065,4 25,202
0.0065,5 163,95
0.0065,6 342,284
0.0065,7 66,45
0.0065,8 336,272
0.0065,9 375,145
0.0065,10 159,131
0.0065,11 84,331
0.0065,12 377,156
0.007,1 293,205
0.007,2 246,134
0.007,3 222,67
0.007,4 25,202
0.007,5 163,95
0.007,6 342,284
0.007,7 66,45
0.007,8 336,272
0.007,9 375,145
0.007,10 159,131
0.007,11 84,331
0.007,12 377,156
0.0075,1 293,205
0.0075,2 246,134
0.0075,3 222,67
0.0075,4 25,202
0.0075,5 163,95
0.0075,6 342,284
0.0075,7 66,45
0.0075,8 336,272
0.0075,9 375,145
0.0075,10 159,131
0.0075,11 84,331
0.0075,12 377,156
0.008,1 293,205
0.008,2 246,134
0.008,3 222,67
0.008,4 25,202
0.008,5 163,95
0.008,6 342,284
0.008,7 66,45
0.008,8 336,272
0.008,9 375,145
0.008,10 159,131
0.008,11 84,331
0.008,12 377,156
0.0085,1 293,205
0.0085,2 246,134
0.0085,3 222,67
0.0085,4 25,202
0.0085,5 163,95
0.0085,6 342,284
0.0085,7 66,45
0.0085,8 336,272
0.0085,9 375,145
0.0085,10 159,131
0.0085,11 84,331
0.0085,12 377,156
0.009,1 293,205
0.009,2 246,134
0.009,3 222,67
0.009,4 25,202
0.009,5 163,95
0.009,6 342,284
0.009,7 66,45
0.009,8 336,272
0.009,9 375,145
0.009,10 159,131
0.009,11 84,331
0.009,12 377,156
0.0095,1 293,205
0.0095,2 246,134
0.0095,3 222,67
0.0095,4 25,202
0.0095,5 163,95
0.0095,6 342,284
0.0095,7 66,45
0.0095,8 336,272
0.0095,9 375,145
0.0095,10 159,131
0.0095,11 84,331
0.0095,12 377,156
0.01,1 293,205
0.01,2 246,134
0.01,3 222,67
0.01,4 25,202
0.01,5 163,95
0.01,6 342,284
0.01,7 66,45
0.01,8 336,272
0.01,9 375,145
0.01,10 159,131
0.01,11 84,331
0.01,12 377,156
0.0105,1 293,205
