DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112786	11	2	3	1	1	2	1	0	3	0	0	31.5726	0	0
DL	0.112804	11	2	3	2	1	2	2	0	3	0	0	19.184	0	0
DL	0.112821	11	2	3	3	1	2	3	0	3	0	0	15.9972	0	0
DL	0.112839	11	2	3	4	1	2	4	0	3	0	0	11.8948	0	0
DL	0.112857	11	2	3	5	1	2	5	0	3	0	0	26.3755	0	0
DL	0.112875	11	2	3	6	1	2	6	0	3	0	0	17.4826	0	0
DL	0.112893	11	2	3	7	1	2	7	0	3	0	0	14.4738	0	0
DL	0.112911	11	2	3	8	1	2	8	0	3	0	0	11.0783	0	0
DL	0.112929	11	2	3	9	1	2	9	0	3	0	0	18.2261	0	0
DL	0.112946	11	2	3	10	1	2	10	0	3	0	0	20.602	0	0
DL	0.112964	11	2	3	11	1	2	11	0	3	0	0	19.4955	0	0
DL	0.112982	11	2	3	12	1	2	12	0	3	0	0	24.2353	0	0
